t,pos,ret,act,conf,net
2026-07-01 20:00:00,0,0.005132708675989361,sell,low,0.0
2026-07-02 00:00:00,0,0.0021990769306712288,hold,medium,0.0
2026-07-02 04:00:00,0,0.0037900709499312235,hold,medium,0.0
2026-07-02 08:00:00,0,0.01016683022571141,buy,low,0.0
2026-07-02 12:00:00,0,0.00017243724255844306,hold,low,0.0
2026-07-02 16:00:00,0,0.0013646904556658956,hold,medium,0.0
2026-07-02 20:00:00,0,0.005647744660832288,buy,low,0.0
2026-07-03 00:00:00,1,0.007595742526030458,buy,medium,0.007486723642475757
2026-07-03 04:00:00,0,0.0005671810384437759,hold,medium,-0.00010901888355470036
2026-07-03 08:00:00,0,-0.000918455941620655,buy,low,-0.0
2026-07-03 12:00:00,0,-0.0005554105848808444,hold,medium,-0.0
2026-07-03 16:00:00,0,-6.946490465364885e-05,hold,medium,-0.0
2026-07-03 20:00:00,0,0.001192962955865351,hold,medium,0.0
2026-07-06 00:00:00,0,-0.004672852473764477,hold,medium,-0.0
2026-07-06 04:00:00,0,-0.002346193325368562,sell,low,-0.0
2026-07-06 08:00:00,0,-0.002626398436690436,hold,medium,-0.0
2026-07-06 12:00:00,0,0.003773612255300929,hold,medium,0.0
2026-07-06 16:00:00,0,0.0024429046256337905,hold,medium,0.0
2026-07-06 20:00:00,0,-0.004554578107293095,buy,low,-0.0
2026-07-07 00:00:00,0,-0.004664658339101901,hold,medium,-0.0
2026-07-07 04:00:00,0,-0.00019628131716864505,sell,low,-0.0
2026-07-07 08:00:00,0,0.011260518866095248,hold,medium,0.0
2026-07-07 12:00:00,1,-0.006643690172036143,buy,medium,-0.0067527090555908435
2026-07-07 16:00:00,0,-0.009407285519198116,hold,medium,-0.00010901888355470036
2026-07-07 20:00:00,0,0.00141511616861556,sell,low,0.0
2026-07-08 00:00:00,0,0.0033515911545236587,hold,medium,0.0
2026-07-08 04:00:00,0,-0.016532291298003154,hold,medium,-0.0
2026-07-08 08:00:00,0,0.003697258605985576,hold,low,0.0
2026-07-08 12:00:00,0,-0.0020972186067985676,hold,medium,-0.0
2026-07-08 16:00:00,0,0.0034157577666653616,hold,medium,0.0
2026-07-08 20:00:00,0,-0.0008068867415509384,hold,medium,-0.0
2026-07-09 00:00:00,0,-0.00243243309581731,hold,medium,-0.0
2026-07-09 04:00:00,0,0.01089267260469473,hold,medium,0.0
2026-07-09 08:00:00,0,-0.00020932366550097115,buy,low,-0.0
2026-07-09 12:00:00,0,0.005029688797135279,hold,medium,0.0
2026-07-09 16:00:00,0,-0.001184515547674958,buy,low,-0.0
2026-07-09 20:00:00,0,0.0006596530031188763,hold,medium,0.0
2026-07-10 00:00:00,0,-0.0026296018031556345,hold,medium,-0.0
2026-07-10 04:00:00,0,-0.004155276107162487,hold,medium,-0.0
2026-07-10 08:00:00,0,0.0006685943657505078,hold,medium,0.0
2026-07-10 12:00:00,0,0.0009241896271297012,hold,medium,0.0
2026-07-10 16:00:00,0,0.003554479277312783,hold,medium,0.0
2026-07-10 20:00:00,0,-0.01105535689576076,hold,medium,-0.0
2026-07-13 00:00:00,0,-0.0037091314348275395,hold,low,-0.0
2026-07-13 04:00:00,-1,0.003932371101507348,sell,medium,-0.004041389985062049
2026-07-13 08:00:00,0,-0.0018136838643492137,hold,medium,-0.00010901888355470036
2026-07-13 12:00:00,0,-0.018132912403895585,hold,medium,-0.0
2026-07-13 16:00:00,0,0.0018380143435234864,sell,low,0.0
2026-07-13 20:00:00,0,0.0008448352571248652,hold,medium,0.0
2026-07-14 00:00:00,0,0.004023315751618295,hold,low,0.0
2026-07-14 04:00:00,0,-0.001094453855089328,hold,medium,-0.0
2026-07-14 08:00:00,0,0.014990525091698848,hold,medium,0.0
2026-07-14 12:00:00,0,-0.0035818815672941096,hold,low,-0.0
2026-07-14 16:00:00,0,-0.002105149120884775,sell,low,-0.0
2026-07-14 20:00:00,0,0.0014532731956218292,hold,medium,0.0
2026-07-15 00:00:00,0,-0.006344224045964242,hold,medium,-0.0
2026-07-15 04:00:00,0,-0.0005628480607776654,sell,low,-0.0
2026-07-15 08:00:00,-1,0.00914460936937922,sell,medium,-0.00925362825293392
2026-07-15 12:00:00,0,-0.008366009858272072,hold,medium,-0.00010901888355470036
2026-07-15 16:00:00,0,0.0066763849842077505,sell,low,0.0
2026-07-15 20:00:00,0,-0.0038787848936719937,hold,medium,-0.0
2026-07-16 00:00:00,0,-0.0028802412974683334,hold,medium,-0.0
